Title,Year,Genre,BoxOffice,budget,popularity,production_companies,revenue,runtime,Internet Movie Database,Rotten Tomatoes,Metacritic,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Sita Ramam,2022,"Action, Drama, Mystery",,3.4,3.9357,"Vyjayanthi Movies,Swapna Cinema",11.8,158,85.0,86.0,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Respect,2021,"Biography, Drama, Music","$24,278,399",55.0,6.668,"Metro-Goldwyn-Mayer,Bron Studios,One Community,Chislehurst Entertainment,Harvey Mason Media,Glickmania",31.217372,145,66.0,68.0,61.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Grand Theft Hamlet,2024,Documentary,,0.2,2.708,"Grasp The Nettle Films,Project 1961,Park Pictures Features,Spark Features,Hazel Pictures",0.211734,91,,93.0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Project Silence,2023,"Action, Horror, Sci-Fi",,14.75,12.3167,"Blaad Studios,CJ ENM,CJ ENM Studios",6.283415,96,54.0,,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
What Happens Later,2023,"Comedy, Romance","$3,273,895",3.0,2.71,"Ten Acre Films,Rockhill Studios,Das Films,Prowess Pictures",3.370345,104,48.0,51.0,59.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Problemista,2023,Comedy,"$2,503,154",12.0,3.9298,"A24,Fruit Tree",2.503154,104,68.0,86.0,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treasure,2024,"Comedy, Drama","$541,578",2.0,1.8383,"Seven Elephants,Good Thing Going,Haïku Films,FilmNation Entertainment,Lava Films,Alamode Filmproduktion,Magic Media,Kings & Queens Filmproduktion,ARTE,Creative Europe Media,Haut et Court",0.583631,111,62.0,42.0,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vettaiyan,2024,"Action, Crime, Drama",,35.5,2.2496,Lyca Productions,30.745762,161,71.0,,,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Bob's Burgers Movie,2022,"Animation, Adventure, Comedy","$31,933,830",38.0,5.6078,"20th Century Studios,Bento Box Entertainment",34.14875,101,70.0,87.0,75.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Just the Two of Us,2023,"Drama, Thriller","$3,506",6.3,1.4655,"Rectangle Productions,France 2 Cinéma,Les Films de Françoise,Canal+,Ciné+,France Télévisions,Région Normandie,Indéfilms 11,La Banque Postale Image 16,Diaphana Films,Sacem,SofiTVCiné 10",5.099005,105,66.0,75.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Spy x Family Code: White,2023,"Animation, Action, Comedy","$8,110,042",5.0,6.7381,"WIT STUDIO,CloverWorks,TOHO,Shueisha,TV Tokyo,Shogakukan-Shueisha Productions",59.629242,110,73.0,94.0,68.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHOST: Rite Here Rite Now,2024,Music,"$2,647,702",1.5,0.6698,"Trafalgar Releasing,Fortress Entertainment Group,Popecorn Cinematic Pictures,Loma Vista Productions",4.772954,144,86.0,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jackass Forever,2022,"Documentary, Action, Comedy","$57,743,451",10.0,6.9199,"Paramount Pictures,MTV Entertainment Studios,Dickhouse Productions",80.340218,96,68.0,86.0,74.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesus,2024,Drama,"$417,578",4.8,0.6085,"Deaf Missions,Gum Visions,Nu Boyana Film Studios",0.417578,147,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Corsage,2022,"Biography, Drama, History","$705,767",7.5806,1.6826,"Film AG,Kazak Productions,Komplizen Film,Samsa Film,ZDF/Arte",3.092534,114,65.0,86.0,76.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Mayhem!,2023,"Action, Thriller","$8,510",4.92,6.6309,"France 2 Cinéma,Same Player,The Ink Connection,Two suns production",1.5,99,63.0,81.0,55.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Spirit Untamed,2021,"Animation, Adventure, Comedy","$17,716,215",30.0,6.8827,"Universal Pictures,DreamWorks Animation",17.635215,88,55.0,48.0,49.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Goat Life,2024,"Adventure, Drama","$625,000",9.8,3.3178,"Visual Romance,Jet Media Productions,Alta Global Media",19.0,172,71.0,78.0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Premalu,2024,"Comedy, Romance",,0.38,2.9222,"Bhavana Studios,Fahadh Faasil and Friends Private Limited,Working Class Hero",9.0,155,78.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A Little Something Extra,2024,Comedy,,6.4,2.381,"Cine Nomine,Auvergne-Rhône-Alpes Cinéma,M6 Films,Same Player,Echo Studio",84.058132,89,70.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrapper,2023,"Comedy, Drama","$213,960",8.4e-05,3.0488,"DMC Film,BFI,BBC Film,Great Point Media",1.234483,84,69.0,94.0,74.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Am I Racist?,2024,"Documentary, Comedy","$12,311,598",3.0,1.2837,"The Daily Wire,Digital Astronaut",12.311598,101,68.0,56.0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infinite Storm,2022,"Drama, Thriller","$1,600,543",4.749917,5.0378,"Maven Screen Media,JamTart Productions,Stage 6 Films,Off Media,dFlights,Studio Orka",1.707067,97,53.0,56.0,56.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
The Burning Sea,2021,"Action, Drama, Thriller",$493,8.3,4.0577,"Fantefilm,Chezville,Nordisk Film Norway",2.836382,104,63.0,71.0,46.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Bhool Bhulaiyaa 3,2024,"Comedy, Horror","$2,230,000",17.6,2.9759,"T-Series,Cine1 Studios",45.7,158,51.0,43.0,,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Waves,2024,"Drama, History, Thriller",,3.5,2.366,"Dawson Productions,Česká televize,Český rozhlas,Wandal Production,Barrandov Studio,innogy Česká republika,RTVS,Bontonfilm,Dobrovolný ekologický spolek - ochrana ptactva,Státní fond ČR pro podporu a rozvoj české kinematografie",7.977616,131,84.0,,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Dragonkeeper,2024,"Animation, Adventure, Fantasy","$805,091",25.6,12.5107,"Movistar+,Atresmedia,China Film Animation,Guardián de Dragones AIE,Telefonica,China Film Administration",6.206231,99,57.0,67.0,,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Palace,2023,"Comedy, Drama",,18.7,2.4863,"Èliseo Entertainment,RAI Cinema,CAB Productions,Lucky Bob,R.P. Productions,AgentDouble Productions,Moderator Inwestycje",0.42035,100,54.0,10.0,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Serial (Bad) Weddings 3,2021,Comedy,,22.0,2.0881,"UGC,Orange Studio",27.832384,97,61.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Project Wolf Hunting,2022,"Action, Crime, Horror","$20,541",9.0,8.7269,"The Contents On,Contents G,Cheum Film,Finecut",0.020541,122,60.0,,53.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Petite Maman,2021,"Drama, Fantasy","$829,065",3.1,1.953,"Lilies Films,France 3 Cinéma",1.024575,72,74.0,97.0,93.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Laal Singh Chaddha,2022,"Comedy, Drama, Romance","$3,401,324",23.0,3.707,"Aamir Khan Productions,Viacom18 Studios,Paramount Pictures",16.0,164,56.0,69.0,46.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Radical,2023,Drama,"$8,702,731",10.0,3.1745,"3Pas Studios,Epic,The Lift,ViX",21.761164,126,78.0,96.0,70.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Big World,2024,"Drama, Family",,7.0,6.3888,"Zhejiang Hengdian Film Production,China Film Group Corporation,Shanghai Tao Piao Piao Movie & TV Culture,Shanghai Gengxi Film,Tianjin Zuoyi Film",109.5,131,73.0,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Article 370,2024,"Action, Drama, Thriller","$1,088,790",2.413068,1.7173,"B62 Studios,Jio Studios",13.222021,160,78.0,83.0,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Conclave,2024,"Drama, Thriller","$32,580,655",20.0,118.9836,"FilmNation Entertainment,Indian Paintbrush,House Productions",115.657988,120,74.0,93.0,79.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Babygirl,2024,"Drama, Romance, Thriller","$28,196,732",20.0,29.2401,"A24,2AM,Man Up Film",60.934894,115,60.0,76.0,79.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Anora,2024,"Comedy, Drama, Romance","$20,474,295",6.0,34.826,"Cre Film,FilmNation Entertainment",56.286295,139,75.0,93.0,91.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Gladiator II,2024,"Action, Adventure, Drama","$172,438,016",310.0,51.8235,"Paramount Pictures,Scott Free Productions,Lucy Fisher/Douglas Wick Productions",458.718,148,65.0,70.0,64.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Order,2024,"Crime, Drama, Thriller","$2,010,901",20.0,9.9582,"Riff Raff Entertainment,Chasing Epic Pictures,AGC Studios",1.970445,116,68.0,92.0,75.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
A Complete Unknown,2024,"Biography, Drama, Music","$74,998,243",65.0,20.7809,"Veritas Entertainment Group,Range Media Partners,The Picture Company,Turnpike Films,White Water,Searchlight Pictures",138.003641,140,77.0,82.0,70.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nosferatu,2024,"Fantasy, Horror, Mystery","$95,608,235",50.0,29.4232,"Focus Features,Studio 8,Maiden Voyage Pictures,Birch Hill Road Entertainment",180.928503,133,73.0,84.0,78.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
The Substance,2024,"Drama, Horror, Sci-Fi","$17,584,795",17.5,53.0309,"Working Title Films,Blacksmith,Working Title Films",76.506196,141,73.0,89.0,78.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Mufasa: The Lion King,2024,"Animation, Adventure, Drama","$254,564,553",200.0,117.0211,Walt Disney Pictures,721.04609,118,66.0,56.0,56.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Twisters,2024,"Action, Adventure, Thriller","$267,762,265",155.0,18.6477,"Universal Pictures,Warner Bros. Pictures,Amblin Entertainment,Domain Entertainment",370.962265,123,65.0,75.0,65.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Wicked,2024,"Fantasy, Musical, Romance","$473,231,120",150.0,27.4342,"Universal Pictures,Marc Platt Productions",751.736617,162,75.0,87.0,73.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Heretic,2024,"Horror, Thriller","$27,986,380",10.0,24.8613,"A24,Beck/Woods,Shiny Penny Productions,CatchLight Studios",51.913394,111,70.0,91.0,71.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A Real Pain,2024,"Comedy, Drama","$8,344,978",3.0,13.5439,"Fruit Tree,Topic Studios,Extreme Emotions,Rego Park,Mazowiecki i Warszawski Fundusz Filmowy",24.856027,90,71.0,96.0,85.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Brutalist,2024,Drama,"$16,279,129",9.6,19.8785,"Brookstreet Pictures,Kaplan Morrison,Intake Films,Andrew Lauren Productions,Lipsync Productions,Richmond Pictures,Meyohas Studio,Carte Blanche,Pierce Capital Entertainment",50.145227,215,74.0,93.0,90.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Oppenheimer,2023,"Biography, Drama, History","$330,078,895",100.0,34.3275,"Syncopy,Universal Pictures,Atlas Entertainment,Breakheart Films,Peters Creek Entertainment",952.0,181,83.0,93.0,90.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Kraven the Hunter,2024,"Action, Thriller","$25,026,310",120.0,56.028,"Columbia Pictures,Matt Tolmach Productions,Arad Productions",59.184643,127,54.0,15.0,35.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hell of a Summer,2023,"Comedy, Horror, Mystery","$3,182,678",3.0,9.5893,"30WEST,Aggregate Films,Kid Brother Productions",3.18268,88,55.0,54.0,54.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
The Wild Robot,2024,"Animation, Sci-Fi","$143,901,945",78.0,50.205,DreamWorks Animation,331.982078,102,82.0,96.0,85.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Speak No Evil,2024,"Drama, Horror, Thriller","$36,931,420",15.0,13.6882,Blumhouse Productions,76.756109,110,68.0,83.0,66.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Trap,2024,"Crime, Horror, Mystery","$42,777,281",30.0,7.8798,Blinding Edge Pictures,82.677281,105,58.0,57.0,52.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Moana 2,2024,"Animation, Adventure, Comedy","$460,405,297",150.0,116.0766,"Walt Disney Pictures,Walt Disney Animation Studios,Walt Disney Animation Studios",1059.544057,99,66.0,61.0,58.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deadpool & Wolverine,2024,"Action, Adventure, Comedy","$636,745,858",200.0,61.7751,"Marvel Studios,Maximum Effort,21 Laps Entertainment,20th Century Studios,Kevin Feige Productions,TSG Entertainment",1338.073645,128,76.0,78.0,56.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sonic the Hedgehog 3,2024,"Action, Adventure, Comedy","$236,115,100",122.0,106.7059,"Paramount Pictures,Original Film,Marza Animation Planet,SEGA,Blur Studio,SEGA of America",486.018457,110,69.0,85.0,56.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien: Romulus,2024,"Horror, Sci-Fi, Thriller","$105,313,091",80.0,41.5675,"20th Century Studios,Scott Free Productions,Brandywine Productions",350.865342,119,71.0,80.0,64.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Flow,2024,"Animation, Adventure, Family","$4,781,272",3.7,51.603,"Dream Well Studio,Sacrebleu Productions,Take Five,ARTE France Cinéma,RTBF",17.660107,85,79.0,97.0,87.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Top Gun: Maverick,2022,"Action, Drama","$718,732,821",170.0,24.9476,"Skydance Media,Don Simpson/Jerry Bruckheimer Films,Paramount Pictures",1488.732821,131,82.0,96.0,78.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Smile 2,2024,"Horror, Mystery, Thriller","$69,012,586",28.0,26.3272,"Paramount Pictures,Temple Hill Entertainment,Bad Feeling",138.08328,127,67.0,86.0,67.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
The Hunger Games: The Ballad of Songbirds & Snakes,2023,"Action, Adventure, Drama","$166,350,594",100.0,20.3231,"Lionsgate,Color Force,about:blank,Studio Babelsberg",337.371917,157,67.0,64.0,54.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I'm Still Here,2024,"Biography, Drama, History","$5,206,915",1.48,16.1624,"VideoFilmes,MACT Productions,RT Features,ARTE France Cinéma,Conspiração Filmes,Globoplay",35.741532,138,86.0,,85.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Return,2024,"Adventure, Drama, History","$703,979",20.0,8.0346,"Picomedia,RAI Cinema,Redwave Films,Heretic,Kabo Films,Marvelous Productions",2.106733,116,62.0,78.0,67.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Civil War,2024,"Action, Thriller","$68,756,072",50.0,24.4694,"DNA Films,IPR.VC,A24",126.542249,109,70.0,81.0,75.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dune: Part Two,2024,"Action, Adventure, Drama","$282,144,358",190.0,32.0728,Legendary Pictures,714.444358,167,85.0,92.0,79.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anyone But You,2023,"Comedy, Romance","$88,319,668",25.0,14.8615,"Olive Bridge Entertainment,Roth-Kirschenbaum Films,SK Global Entertainment,Columbia Pictures",214.89137,103,61.0,54.0,52.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Wrath of Man,2021,"Action, Crime, Thriller","$27,466,489",40.0,23.7043,"Miramax,Toff Guy Films,Flic Films",103.966489,118,71.0,68.0,57.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mission: Impossible - Dead Reckoning Part One,2023,"Action, Adventure, Thriller","$172,640,980",291.0,24.1019,"Paramount Pictures,Skydance Media,TC Productions",567.535383,164,76.0,96.0,81.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
No Hard Feelings,2023,"Comedy, Romance","$50,452,282",45.0,16.4824,"Excellent Cadaver,Odenkirk Provissiero Entertainment,Columbia Pictures,Saks Picture Company",83.0,104,64.0,70.0,59.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Poor Things,2023,"Comedy, Drama, Romance","$34,553,225",35.0,18.9583,"Searchlight Pictures,Film4 Productions,TSG Entertainment,Element Pictures,Limp,Fruit Tree",117.607117,141,78.0,93.0,88.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
X,2022,"Horror, Mystery, Thriller","$11,769,469",1.0,14.7441,"A24,Little Lamb Productions",15.113105,106,65.0,94.0,80.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
The Ministry of Ungentlemanly Warfare,2024,"Action, Comedy, War","$20,535,053",60.0,21.8755,"Jerry Bruckheimer Films,Black Bear Pictures,Toff Guy Films",29.715044,120,68.0,68.0,55.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Batman,2022,"Action, Crime, Drama","$369,345,583",185.0,17.5821,"6th & Idaho Motion Picture Company,Dylan Clark Productions,DC Films,Warner Bros. Pictures",772.319315,177,78.0,85.0,72.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Parthenope,2024,"Drama, Fantasy",,32.0,13.2041,"The Apartment Pictures,Pathé,Numero10,Saint Laurent Productions,PiperFilm,Logical Content Ventures",10.36111,137,69.0,47.0,57.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Venom: The Last Dance,2024,"Action, Adventure, Sci-Fi","$139,755,882",120.0,64.4236,"Columbia Pictures,Pascal Pictures,Matt Tolmach Productions,Hutch Parker Entertainment,Arad Productions",478.103649,109,60.0,40.0,41.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Paddington in Peru,2024,"Adventure, Comedy, Family","$45,676,600",90.0,23.7122,"Marmalade Pictures,Kinoshita Group,StudioCanal,Stage 6 Films",168.610271,106,67.0,93.0,65.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Juror #2,2024,"Crime, Drama, Mystery",,30.0,15.186,"Warner Bros. Pictures,Malpaso Productions,Dichotomy Films",21.418477,114,70.0,93.0,72.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Bullet Train,2022,"Action, Comedy, Thriller","$103,368,602",90.0,20.3262,"87North Productions,Columbia Pictures",239.3,126,73.0,53.0,49.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Longlegs,2024,"Crime, Horror, Thriller","$74,346,140",10.0,11.0485,"C2 Motion Picture Group,Saturn Films,Oddfellows Entertainment,Traffic.,Range Media Partners",126.942386,100,66.0,86.0,77.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
It Ends with Us,2024,"Drama, Romance","$148,518,266",25.0,13.4374,"Columbia Pictures,Wayfarer Studios,Saks Picture Company",350.993761,131,64.0,55.0,53.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Furiosa: A Mad Max Saga,2024,"Action, Adventure, Sci-Fi","$67,475,791",170.0,19.4101,"Warner Bros. Pictures,Kennedy Miller Mitchell,Domain Entertainment",173.775791,149,75.0,90.0,79.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Y2K,2024,"Comedy, Horror, Sci-Fi","$4,446,596",15.0,8.3394,"A24,Strong Baby Productions,American Light & Fixture",4.210306,91,48.0,42.0,49.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Blink Twice,2024,"Mystery, Thriller","$23,093,906",20.0,20.4486,"Metro-Goldwyn-Mayer,Free Association,This Is Important,Bold Choices",46.393906,102,65.0,75.0,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
The Beekeeper,2024,"Action, Crime, Thriller","$66,220,535",35.0,22.0375,"Miramax,Cedar Park Entertainment,Punch Palace Productions",152.720535,105,63.0,71.0,53.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Strange Darling,2023,"Horror, Thriller","$3,083,595",4.0,9.7744,"Miramax,Spooky Pictures,Electric Lady Studios",4.853595,98,71.0,96.0,80.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Queer,2024,"Biography, Drama, History","$3,736,813",53.4,15.6613,"Fremantle,The Apartment Pictures,Frenesy Film",5.450715,136,65.0,77.0,72.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Apprentice,2024,"Biography, Drama, History","$4,001,904",16.0,6.2554,"Gidden Media,Head Gear Films,Metrol Technology,Scythia Films,Profile Pictures,Tailored Films,Film Institute,Film i Väst,Fís Éireann/Screen Ireland,RocketScience,LB Entertainment,AC Films,Rich Spirit,Wild 7 Films",17.271613,122,71.0,83.0,64.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Count of Monte-Cristo,2024,"Action, Adventure, Drama","$529,830",46.0,14.4008,"Chapter 2,Fargo Films,Pathé,M6 Films",75.36086,178,76.0,96.0,75.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
We Live in Time,2024,"Drama, Romance","$24,690,031",20.0,20.1098,"Film4 Productions,SunnyMarch,Shoebox Films,StudioCanal",37.182814,108,70.0,79.0,59.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Dune: Part One,2021,"Action, Adventure, Drama","$108,897,830",165.0,23.7486,Legendary Pictures,407.573628,155,80.0,83.0,74.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbie,2023,"Adventure, Comedy, Fantasy","$636,238,421",145.0,27.3311,"LuckyChap Entertainment,Heyday Films,NB/GG Pictures,Mattel,Warner Bros. Pictures",1445.638421,114,68.0,88.0,80.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dungeons & Dragons: Honor Among Thieves,2023,"Action, Adventure, Comedy","$93,549,650",151.0,15.5423,"Entertainment One,Paramount Pictures",208.2,134,72.0,,72.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Presence,2024,"Drama, Horror, Thriller","$4,321,970",2.0,34.5363,"Extension 765,The Spectral Spirit Company",10.498407,84,67.0,88.0,77.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Hit Man,2023,"Comedy, Crime, Romance",,8.8,13.1141,"Aggregate Films,BarnStorm Productions,Detour Filmproduction,AGC Studios,Cinetic Media,Monarch Media,Shivhans Pictures",5.101673,116,68.0,95.0,82.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Super Mario Bros. Movie,2023,"Animation, Adventure, Comedy","$574,934,330",100.0,31.939,"Universal Pictures,Illumination,Nintendo",1362.0,93,70.0,59.0,46.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Menu,2022,"Comedy, Horror, Thriller","$38,501,125",35.0,15.7095,"Hyperobject Industries,Searchlight Pictures,Gary Sanchez Productions,TSG Entertainment",79.6282,107,72.0,88.0,71.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Jurassic World: Dominion,2022,"Action, Adventure, Sci-Fi","$376,851,080",165.0,25.163,"Amblin Entertainment,Universal Pictures",1001.97808,147,56.0,29.0,38.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Fall Guy,2024,"Action, Comedy, Drama","$92,900,355",125.0,18.4937,"87North Productions,Entertainment 360,Universal Pictures,dentsu",181.073291,127,68.0,82.0,73.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man: Across the Spider-Verse,2023,"Animation, Action, Adventure","$381,593,754",100.0,29.2898,"Columbia Pictures,Sony Pictures Animation,Lord Miller,Pascal Pictures,Arad Productions,Marvel Entertainment",690.89791,140,85.0,95.0,86.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fall,2022,"Action, Thriller","$7,240,521",3.0,17.0018,"Tea Shop Productions,BuzzFeed Studios,Capstone Pictures,Lionsgate",17.363261,107,64.0,79.0,62.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Iron Claw,2023,"Biography, Drama, Sport","$35,070,296",15.9,14.1815,"A24,BBC Film,Access Entertainment,House Productions",40.130232,132,76.0,89.0,73.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
