,id,Title,Year,BoxOffice,Production,budget,genres,original_language,popularity,production_companies,revenue,runtime,Metacritic,imdb,rotten
7958,tt6024606,Voyage of Time,2016,"$55,409",,0,"[""Animation"", ""Documentary""]",en,0.5026,"[""Broad Green Pictures"", ""IMAX"", ""Sophisticated Films""]",0,45,77.0,70.0,90.0
7959,tt6029122,Sijjin 3: Love,2016,,,0,"[""Horror""]",tr,1.3533,"[""Muhte\u015fem Film""]",1000000,110,,60.0,
7960,tt6032090,Use Me,2019,,,0,"[""Thriller""]",en,0.4593,"[""Green Light Productions""]",0,92,,42.0,79.0
7961,tt6032328,Finding Steve McQueen,2019,,,7000000,"[""Drama"", ""Crime""]",en,0.9853,"[""AMBI Group"", ""BondIt"", ""Identity Films"", ""Paradox Studios"", ""Premiere Picture""]",0,91,53.0,62.0,46.0
7962,tt6032704,Apparition,2019,,,0,"[""Horror""]",en,0.3639,"[""Make The Movie"", ""Voltage Pictures""]",0,83,,32.0,
7963,tt6032878,The Wrong Mother,2017,,,0,"[""Thriller"", ""TV Movie"", ""Drama""]",en,0.4028,"[""""]",0,88,,54.0,
7964,tt6035294,The Magic Pill,2017,,,0,"[""Documentary""]",en,0.4497,"[""""]",0,91,,71.0,
7965,tt6038042,Madness in the Method,2019,,,0,"[""Comedy"", ""Crime""]",en,0.3586,"[""Malibu Films"", ""Autumnwood Media"", ""Happy Hour Films"", ""Hawthorn Productions"", ""Red Rock Entertainment"", ""Straightwire Films""]",0,99,,55.0,30.0
7966,tt6038600,Smolensk,2016,,,3000000,"[""Thriller"", ""Drama""]",pl,0.3373,"[""Wytw\u00f3rnia Film\u00f3w Dokumentalnych i Fabularnych""]",0,115,,12.0,
7967,tt6040662,The Children Act,2017,"$547,750",,0,"[""Drama""]",en,1.0702,"[""FilmNation Entertainment"", ""BBC Film"", ""Toledo Productions""]",17696794,105,62.0,67.0,74.0
7968,tt6043072,Untogether,2018,,,0,"[""Comedy"", ""Drama""]",en,0.6281,"[""Redwire Pictures""]",0,98,46.0,51.0,42.0
7969,tt6043142,Skin,2018,,,0,"[""History"", ""Romance"", ""Drama"", ""Biography"", ""Crime""]",en,2.5984,"[""Maven Screen Media"", ""Sight Unseen Pictures"", ""Allusionist Picture House"", ""Brookstreet Pictures"", ""Come What May Productions"", ""Hua Wen Movie Group"", ""Item 7"", ""Lost Lane Entertainment"", ""New Native Pictures"", ""PaperChase Films"", ""Tugawood Pictures"", ""Bretz Filmes"", ""Voltage Pictures""]",0,110,58.0,68.0,76.0
7970,tt6044910,Operation Mekong,2016,"$800,012",,30200000,"[""Adventure"", ""Action"", ""War"", ""Crime""]",zh,1.1541,"[""Film Fireworks Production""]",173000000,124,,65.0,82.0
7971,tt6045466,Madame,2017,"$90,979",,0,"[""Comedy"", ""Romance"", ""Drama""]",en,0.9579,"[""StudioCanal"", ""LGM Films"", ""PM""]",0,91,45.0,61.0,44.0
7972,tt6045752,Searchers,2016,,,0,"[""Action"", ""Drama"", ""History""]",iu,0.1023,"[""Kingulliit Productions""]",0,94,,65.0,
7973,tt6046314,Bel Canto,2018,"$125,569",,0,"[""Thriller"", ""Romance"", ""Drama"", ""Music""]",en,0.7818,"[""A-Line Pictures"", ""Depth of Field"", ""Priority Pictures"", ""Bloom"", ""Screen Media Films""]",176746000,100,50.0,55.0,47.0
7974,tt6047298,The Summit,2017,,,6000000,"[""Thriller"", ""Mystery"", ""Drama""]",es,0.8294,"[""K & S Films"", ""La Uni\u00f3n de los R\u00edos"", ""Mod Producciones"", ""Maneki Films"", ""ARTE France Cin\u00e9ma"", ""Movistar+"", ""Telefe""]",5699056,114,,60.0,58.0
7975,tt6047974,Lupin the Third: Goemon's Blood Spray,2017,,,0,"[""Adventure"", ""Action"", ""Drama"", ""Animation"", ""Crime""]",ja,1.5277,"[""Telecom Animation Film"", ""Free As A Bird"", ""TFC"", ""TMS Entertainment""]",0,54,,73.0,
7976,tt6048442,Back on the Strip,2023,"$669,472",,0,"[""Comedy""]",en,1.1323,"[""MMJ Productions LLC"", ""Luminosity Entertainment"", ""Junction Films"", ""Southfield Village Entertainment"", ""Man from Mars Films"", ""Buffalo 8""]",0,112,48.0,42.0,25.0
7977,tt6048582,The Falls: Covenant of Grace,2016,,,0,"[""Romance"", ""Drama""]",en,0.2251,"[""Breaking Glass Pictures"", ""QC Cinema"", ""Lake Productions""]",0,119,,70.0,
7978,tt6048930,Naked,2017,,,0,"[""Romance"", ""Comedy"", ""Fantasy""]",en,2.4178,"[""Broken Road Productions""]",0,96,36.0,54.0,0.0
7979,tt6053438,First Reformed,2017,"$3,448,256",,3500000,"[""Thriller"", ""Mystery"", ""Drama""]",en,2.0441,"[""Arclight Films"", ""Omeira Studio Partners"", ""Killer Films"", ""Fibonacci Films"", ""Big Indie Pictures""]",3988612,113,86.0,71.0,94.0
7980,tt6053440,Princess Cyd,2017,,,181972,"[""Romance"", ""Drama""]",en,0.7927,"[""Sunroom Pictures""]",0,96,72.0,67.0,95.0
7981,tt6053472,The Toybox,2018,,,0,"[""Thriller"", ""Horror""]",en,0.7051,"[""ETA films"", ""Steel House Productions"", ""Millman Productions"", ""Ron Lee Productions"", ""Skyline Entertainment""]",0,81,,37.0,33.0
7982,tt6054290,Soulmate,2016,,,0,"[""Romance"", ""Drama""]",zh,1.1015,"[""We Pictures Limited"", ""Alibaba Pictures Group""]",0,110,,73.0,100.0
7983,tt6054650,A Question of Faith,2017,"$2,587,072",,0,"[""Drama""]",en,0.7636,"[""Silver Lining Entertainment""]",2587072,104,,60.0,40.0
7984,tt6054758,Kirik Party,2016,,,562680,"[""Comedy"", ""Romance"", ""Drama""]",kn,0.35,"[""Paramvah Studios"", ""Pushkar Films""]",7033500,165,,82.0,
7985,tt6054846,Amundsen,2019,,,0,"[""Adventure"", ""History"", ""Drama"", ""Biography""]",no,1.0584,"[""Motion Blur"", ""Film i V\u00e4st"", ""Film Kolektiv"", ""Filminvest"", ""Horn Produksjon"", ""SF Studios""]",0,125,,62.0,
7986,tt6054874,Furious,2017,"$9,996",,5610000,"[""Adventure"", ""Action"", ""History"", ""Fantasy"", ""Drama""]",ru,1.0819,"[""Central Partnership""]",10657499,117,,61.0,
7987,tt6056644,Majnu,2016,,,0,"[""Comedy"", ""Romance"", ""Drama""]",te,0.4797,"[""Anandi Art Creations"", ""KevaMovies""]",0,138,,64.0,
7988,tt6057032,Gook,2017,"$250,130",,0,"[""Drama""]",en,0.3514,"[""Tunnel Post"", ""Datari Turner Productions"", ""Birthday Soup Films"", ""The Fishbowl Studios"", ""Foxtrout Studios""]",250130,94,69.0,70.0,94.0
7989,tt6058878,Love at the End of the World,2015,,,0,"[""Romance"", ""Drama""]",ko,0.7168,"[""""]",0,100,,66.0,
7990,tt6059074,Jomon's Gospels,2017,,,1000000,"[""Comedy"", ""Family"", ""Drama""]",ml,0.3588,"[""Full Moon Cinema""]",6000000,157,,66.0,
7991,tt6060156,Toc Toc,2017,,,0,"[""Comedy""]",es,2.843,"[""Atresmedia"", ""LAZONA""]",0,92,,68.0,
7992,tt6062774,Monos,2019,"$406,473",,1800000,"[""Adventure"", ""Thriller"", ""Drama""]",es,0.9386,"[""Stela Cine"", ""Caracol Televisi\u00f3n"", ""Bord Cadre Films"", ""Dynamo"", ""Campo Cine"", ""Film i V\u00e4st"", ""Lemming Film"", ""Mutante Cine"", ""Pando Producciones"", ""Pandora Filmproduktion"", ""Snowglobe""]",1929915,103,78.0,68.0,93.0
7993,tt6063050,Acrimony,2018,"$43,549,096",,20000000,"[""Thriller"", ""Horror"", ""Romance"", ""Drama""]",en,1.8567,"[""Tyler Perry Studios"", ""Lionsgate""]",34800000,120,32.0,59.0,19.0
7994,tt6063090,Light of My Life,2019,"$20,056",,0,"[""Thriller"", ""Sci-Fi"", ""Science Fiction"", ""Drama""]",en,0.8989,"[""Black Bear Pictures"", ""Sea Change Media""]",0,119,67.0,66.0,80.0
7995,tt6065246,Kinky,2018,,,3500000,"[""Thriller"", ""Romance"", ""Drama""]",en,0.8422,"[""Nu-Lite Entertainment"", ""Patriot Pictures""]",0,93,,31.0,
7996,tt6067752,Lucifer,2019,,,0,"[""Action"", ""Thriller"", ""Drama"", ""Crime""]",ml,2.4616,"[""Aashirvad Cinemas""]",28717000,174,,75.0,40.0
7997,tt6068960,Hatred,2016,,,0,"[""History"", ""War"", ""Drama""]",pl,0.6667,"[""Narodowy Instytut Audiowizualny"", ""Film It"", ""Andrzej \u0141udzi\u0144ski Productions"", ""Bemar"", ""Canal+"", ""Telewizja Polska"", ""Odra Film"", ""Narodowe Centrum Kultury""]",0,150,,76.0,
7998,tt6069126,The Escape,2017,"$14,018",,0,"[""Drama""]",en,0.6687,"[""Front Row Filmed Entertainment"", ""Lorton Entertainment""]",0,102,75.0,59.0,76.0
7999,tt6069162,Here and Now,2018,"$13,892",,0,"[""Romance"", ""Drama"", ""Music""]",en,0.7729,"[""Head Gear Films"", ""AMBI Group"", ""Pretty Matches Productions""]",0,90,45.0,45.0,23.0
8000,tt6069264,Bitch,2017,,,0,"[""Thriller"", ""Comedy"", ""Drama""]",en,0.8343,"[""MarVista Entertainment"", ""Company X""]",0,96,55.0,52.0,66.0
8001,tt6076004,Love Birds,2017,,,74,"[""Drama""]",he,0.6197,"[""""]",0,0,,48.0,
8002,tt6076226,Rise of the Footsoldier 3,2017,,,0,"[""Action"", ""Thriller"", ""Drama"", ""Comedy"", ""Crime""]",en,1.3354,"[""Carnaby International"", ""Lipsync Productions"", ""Signature Films""]",17000,99,,58.0,
8003,tt6077598,A Delicious Flight,2015,,,0,"[""Romance""]",ko,6.5257,"[""""]",0,97,,59.0,
8004,tt6078532,Kazantzakis,2017,,,0,"[""History"", ""Biography""]",el,0.1971,"[""Alexandros Film""]",0,120,,62.0,
8005,tt6078840,Let Me Eat Your Pancreas,2017,,,0,"[""Romance"", ""Drama""]",ja,1.8639,"[""TOHO"", ""Hakuhodo DY Music & Pictures"", ""Futabasha"", ""jeki"", ""Hakuhodo"", ""KDDI"", ""Nippan Group Holdings"", ""Tristone Entertainment"", ""Stardust Pictures"", ""Tokyu Agency"", ""GYAO"", ""Tohan"", ""Toho Pictures""]",0,115,,71.0,
8006,tt6079516,I See You,2019,,,3000000,"[""Thriller"", ""Horror"", ""Mystery"", ""Drama""]",en,2.7791,"[""Zodiac Features""]",0,98,65.0,68.0,73.0
8007,tt6081670,Possum,2018,,,0,"[""Thriller"", ""Horror"", ""Mystery"", ""Drama""]",en,2.5885,"[""BFI"", ""The Fyzz"", ""Bankside Films"", ""Evandine Productions""]",33225,85,64.0,58.0,88.0
